                 Time [s]	     Steps	  RhsEvals	 LinSetups	  NIters	 NConvFails	  NErrFails	 Order	  StepSize [s]
          3614.2137714683	        93	       129	        25	     128	          0	          6	     3	    144.093871
          7342.3343189370	       113	       158	        31	     157	          0	          8	     4	    403.024701
         10881.7411427266	       128	       189	        40	     188	          0	         13	     3	     82.493131
         14421.4947580577	       149	       224	        45	     223	          0	         15	     2	     85.321152
         18275.5257859028	       168	       250	        50	     249	          0	         16	     4	    503.459784
         21603.9493908978	       179	       274	        55	     273	          0	         19	     4	     42.139696
         25219.5714622378	       201	       304	        60	     303	          0	         21	     3	     32.444395
         28839.7214339232	       219	       334	        68	     333	          0	         24	     3	    126.366244
         32471.0850189030	       233	       353	        72	     352	          0	         25	     4	    336.959519
         36233.2875508844	       245	       374	        77	     373	          0	         27	     3	    307.437421
         39635.3657295662	       254	       386	        78	     385	          0	         27	     3	    466.222768
         43257.6063156021	       264	       405	        82	     404	          0	         29	     3	    259.471848
         46880.4752273591	       277	       429	        87	     428	          0	         32	     3	    158.301639
         50421.3603568918	       293	       463	        93	     462	          0	         34	     3	    139.235522
         54017.1647473292	       310	       494	       100	     493	          0	         37	     4	     44.335535
         57678.5953198169	       329	       524	       107	     523	          0	         39	     3	    123.491088
         61528.3788124864	       357	       560	       116	     559	          0	         41	     3	    409.992859
         65329.4544581791	       363	       568	       117	     567	          0	         41	     3	    678.216557
         68406.6083931861	       368	       575	       118	     574	          0	         42	     3	    364.287706
         72085.2030056780	       379	       596	       121	     595	          0	         44	     2	    215.763712
         75762.3290947244	       391	       614	       123	     613	          0	         44	     2	    336.648328
         79265.3148797726	       400	       637	       129	     636	          0	         46	     2	    289.583356
         82891.0432764429	       409	       648	       130	     647	          0	         46	     2	    544.452905
         86573.2131588868	       419	       673	       136	     672	          0	         49	     3	    186.451171
         90063.0862340933	       431	       697	       141	     696	          0	         51	     2	     90.108480
         93823.7410759953	       444	       717	       146	     716	          0	         52	     4	    379.702667
         97231.9156968000	       455	       734	       149	     733	          0	         54	     4	    231.932169
        100873.7103808859	       471	       763	       157	     762	          0	         58	     4	     94.227436
        104507.8685754869	       492	       785	       158	     784	          0	         58	     4	    181.352806
        108166.8827587830	       500	       797	       160	     796	          0	         58	     4	    616.279914
        111600.0968576165	       521	       889	       183	     888	          7	         62	     3	      0.134155
        115241.8220049468	      1326	      2014	       264	    2013	          7	         82	     3	     46.712484
        118850.3373106774	      1431	      2168	       275	    2167	          7	         85	     3	     82.241602
        122400.0684693487	      1482	      2268	       287	    2267	          9	         90	     3	      0.117374
        126024.7548662593	      1848	      2733	       336	    2732	          9	        103	     2	     38.228509
        129650.0324121313	      1916	      2806	       340	    2805	          9	        103	     2	     57.954258
        133203.6196171985	      1962	      2859	       345	    2858	          9	        105	     2	     20.144803
        136800.8090754318	      1999	      2905	       350	    2904	          9	        107	     2	      6.616822
        140486.2781811946	      2047	      2963	       356	    2962	          9	        108	     2	    117.017377
        144089.0221601584	      2072	      2994	       359	    2993	          9	        109	     2	     90.089557
        147666.4429372058	      2110	      3054	       367	    3053	          9	        112	     3	    105.174607
        151255.2494715561	      2133	      3086	       371	    3085	          9	        114	     2	     72.031652
        154845.6891923382	      2155	      3117	       376	    3116	          9	        116	     2	     63.252331
        158495.2007740848	      2172	      3138	       380	    3137	          9	        117	     2	    144.186671
        162042.8840086687	      2189	      3159	       382	    3158	          9	        118	     2	     91.595562
        165622.4729164829	      2212	      3189	       385	    3188	          9	        118	     2	    238.026415
        169356.9973104068	      2226	      3208	       388	    3207	          9	        119	     2	    338.206164
        172890.9638342575	      2237	      3222	       389	    3221	          9	        120	     2	    151.904879
        176407.5734763418	      2253	      3240	       390	    3239	          9	        120	     2	    235.453462
        180174.8288658613	      2269	      3258	       391	    3257	          9	        120	     2	    235.453462
        183706.6307935358	      2284	      3275	       392	    3274	          9	        120	     2	    235.453462
        187238.4327212104	      2299	      3290	       392	    3289	          9	        120	     2	    235.453462
        190957.9075800764	      2322	      3317	       394	    3316	          9	        121	     2	    199.278773
        194544.9254950508	      2340	      3336	       395	    3335	          9	        121	     2	    199.278773
        198131.9434100252	      2358	      3365	       396	    3364	          9	        121	     2	    199.278773
        201671.8975424180	      2373	      3386	       398	    3385	          9	        121	     2	    336.971907
        205378.5885216110	      2384	      3407	       400	    3406	          9	        121	     2	    336.971907
        208909.4814573849	      2395	      3421	       401	    3420	          9	        122	     2	    161.173864
        212411.2403936167	      2590	      3695	       436	    3694	         14	        130	     2	     20.179696
        216017.4957777161	      2743	      3888	       445	    3887	         14	        130	     2	     32.531170
        219635.8165330473	      2800	      3955	       449	    3954	         14	        130	     2	     92.073184
        223314.4850168671	      2829	      3987	       451	    3986	         14	        130	     2	    164.112194
        227013.0666545785	      2845	      4005	       453	    4004	         14	        130	     2	    317.367413
        230425.2858548757	      2860	      4032	       457	    4031	         15	        130	     2	    159.203218
        234020.7983953530	      2879	      4057	       461	    4056	         15	        131	     2	    349.597051
        237732.2721820283	      2891	      4073	       462	    4072	         15	        132	     2	    188.366775
        241318.4812244749	      2901	      4087	       465	    4086	         15	        132	     2	    741.102003
        244872.3108556540	      2911	      4100	       466	    4099	         15	        133	     2	    355.382963
        248426.1404868331	      2921	      4112	       466	    4111	         15	        133	     2	    355.382963
        252584.2381520430	      2930	      4124	       468	    4123	         15	        133	     2	    675.266629
        255960.5712962138	      2935	      4129	       468	    4128	         15	        133	     2	    675.266629
        259336.9044403846	      2940	      4134	       468	    4133	         15	        133	     2	    675.266629
        262805.3103785528	      2950	      4147	       470	    4146	         15	        134	     2	    469.643170
        266562.4557378822	      2958	      4156	       470	    4155	         15	        134	     2	    469.643170
        270319.6010972116	      2966	      4164	       470	    4163	         15	        134	     2	    469.643170
        273607.1032866248	      2973	      4172	       471	    4171	         15	        134	     2	    469.643170
        277364.2486459542	      2981	      4181	       471	    4180	         15	        134	     2	    469.643170
        281121.3940052837	      2989	      4190	       472	    4189	         15	        134	     2	    469.643170
        284408.8961946969	      2996	      4197	       472	    4196	         15	        134	     2	    469.643170
        288166.0415540263	      3004	      4206	       472	    4205	         15	        134	     2	    469.643170
        291923.1869133557	      3012	      4216	       473	    4215	         15	        134	     2	    469.643170
        295210.6891027690	      3019	      4223	       473	    4222	         15	        134	     2	    469.643170
        298967.8344620984	      3027	      4231	       473	    4230	         15	        134	     2	    469.643170
        302724.9798214278	      3035	      4242	       474	    4241	         15	        134	     2	    469.643170
        306012.4820108410	      3042	      4249	       474	    4248	         15	        134	     2	    469.643170
        309790.1644168310	      3054	      4265	       476	    4264	         15	        135	     2	    204.209508
        313261.7260538245	      3071	      4284	       477	    4283	         15	        135	     2	    204.209508
        316863.5920025341	      3093	      4315	       480	    4314	         15	        137	     2	     99.075259
        320496.7872123311	      3120	      4350	       485	    4349	         15	        139	     2	     98.964912
        324025.4285358791	      3138	      4370	       487	    4369	         15	        139	     2	    285.312588
        327662.2699593711	      3155	      4395	       491	    4394	         15	        141	     2	    130.038577
        331516.0829677936	      3170	      4412	       493	    4411	         15	        141	     3	    337.250631
        334888.5892771158	      3180	      4422	       493	    4421	         15	        141	     3	    337.250631
        338599.5488146282	      3188	      4431	       494	    4430	         15	        141	     3	    506.076379
        342142.0834695508	      3195	      4439	       494	    4438	         15	        141	     3	    506.076379
        345667.8123548384	      3206	      4453	       495	    4452	         15	        142	     3	    301.965251
        349291.3953620539	      3218	      4466	       496	    4465	         15	        142	     3	    301.965251
        353008.3917890642	      3228	      4479	       498	    4478	         15	        143	     2	    212.087908
        356800.9593248097	      3239	      4492	       500	    4491	         15	        143	     2	    488.587722
        360260.9170526373	      3247	      4503	       501	    4502	         15	        144	     2	    264.215698
        363675.1815362130	      3260	      4523	       504	    4522	         15	        145	     2	    225.334683
        367259.1711567832	      3270	      4537	       505	    4536	         15	        145	     3	    358.398962
        371006.6308121101	      3282	      4558	       509	    4557	         15	        146	     2	    569.396590
        374463.8431312946	      3290	      4570	       511	    4569	         15	        147	     2	    473.763778
        378016.6401181177	      3299	      4585	       515	    4584	         15	        149	     3	    403.398753
        381766.5185957063	      3309	      4601	       518	    4600	         15	        150	     3	    587.775076
        385283.0388918606	      3320	      4619	       520	    4618	         15	        152	     3	    193.230368
        388839.8937554191	      3334	      4634	       521	    4633	         15	        152	     4	    299.684082
        392436.1027429918	      3346	      4648	       521	    4647	         15	        152	     4	    299.684082
        396067.4330377987	      3371	      4686	       526	    4685	         15	        154	     3	    218.374873
        399678.9517324435	      3382	      4700	       528	    4699	         15	        154	     3	    576.052706
        403297.7893206197	      3396	      4725	       534	    4724	         15	        157	     3	    229.530212
        406902.5945849161	      3417	      4755	       542	    4754	         15	        159	     3	    443.805795
        410541.8799666365	      3428	      4772	       544	    4771	         15	        160	     3	    604.421317
        414283.9575421083	      3438	      4789	       547	    4788	         15	        162	     3	    305.554144
        417696.3788112177	      3447	      4802	       549	    4801	         15	        163	     3	    256.884574
        421333.1955360486	      3457	      4814	       551	    4813	         15	        163	     4	    651.773263
        425114.9361605294	      3465	      4825	       552	    4824	         15	        164	     4	    447.138195
        428692.0417170151	      3473	      4833	       552	    4832	         15	        164	     4	    447.138195
        432255.0166746514	      3482	      4848	       554	    4847	         15	        165	     4	    293.381930
        435698.5166771220	      3506	      4882	       562	    4881	         15	        168	     2	    272.246467
        439262.4102193853	      3517	      4896	       563	    4895	         15	        168	     2	    414.542068
        442811.4855930678	      3532	      4914	       565	    4913	         15	        169	     2	    404.816656
        446454.8354926834	      3541	      4925	       565	    4924	         15	        169	     2	    404.816656
        450040.4846237208	      3550	      4937	       567	    4936	         15	        170	     2	    347.115887
        453655.6179472331	      3560	      4952	       569	    4951	         15	        171	     2	    219.329762
        457458.4148966122	      3572	      4969	       571	    4968	         15	        172	     3	    318.860138
        460850.4044267595	      3583	      4984	       572	    4983	         15	        173	     3	    203.388152
        464461.1884817320	      3603	      5008	       573	    5007	         15	        174	     3	    127.224987
        468013.3639104447	      3625	      5033	       576	    5032	         15	        174	     2	    332.016707
        471802.9589143325	      3640	      5055	       580	    5054	         15	        176	     2	    205.773317
        475277.2974330778	      3653	      5069	       581	    5068	         15	        176	     2	    319.956946
        479315.7027053900	      3663	      5081	       582	    5080	         15	        176	     2	    529.665900
        482493.6981032028	      3669	      5088	       582	    5087	         15	        176	     2	    529.665900
        486201.3594006511	      3676	      5095	       582	    5094	         15	        176	     2	    529.665900
        489683.7651735773	      3684	      5109	       585	    5108	         15	        178	     2	    105.812730
        493351.4705635753	      3704	      5138	       590	    5137	         15	        180	     3	    154.132389
        496825.3653747107	      3718	      5153	       592	    5152	         15	        180	     3	    366.909920
        500907.3008901014	      3729	      5169	       595	    5168	         15	        181	     3	    649.926222
        504156.9319999811	      3734	      5175	       595	    5174	         15	        181	     3	    649.926222
        507812.4746884352	      3740	      5183	       596	    5182	         15	        182	     3	    405.911579
        511288.5261140267	      3748	      5193	       597	    5192	         15	        182	     3	    634.670376
        514963.7913991084	      3759	      5210	       599	    5209	         15	        184	     3	    217.047436
        518465.3542606330	      3770	      5225	       602	    5224	         15	        185	     3	    314.184848
        522013.8416736268	      3782	      5244	       606	    5243	         15	        187	     3	    275.578180
        525798.4171437741	      3796	      5268	       612	    5267	         15	        189	     3	    332.501332
        529455.9317950405	      3807	      5280	       612	    5279	         15	        189	     3	    332.501332
        532996.9007392880	      3817	      5298	       614	    5297	         15	        189	     2	    548.456957
        536637.5003091719	      3827	      5312	       616	    5311	         15	        190	     2	    471.959072
        540413.1728864217	      3835	      5324	       616	    5323	         15	        190	     2	    471.959072
        543716.8863915153	      3842	      5338	       616	    5337	         15	        190	     2	    471.959072
        547285.9205542791	      3857	      5359	       617	    5358	         15	        191	     2	    237.935611
        550951.8430589273	      3870	      5376	       621	    5375	         15	        192	     2	    270.073253
        554491.2578533450	      3880	      5387	       622	    5386	         15	        192	     2	    437.809706
        558073.3695080952	      3893	      5404	       624	    5403	         15	        193	     3	    423.927225
        561721.8063402496	      3907	      5423	       626	    5422	         15	        194	     2	    377.452666
